Minisector,NOR,VER,Fastest
0,275.37498334911567,272.54683324266665,NOR
1,240.11009433184108,245.51750954550843,VER
2,119.91157470487815,117.95407132223019,NOR
3,176.2653754978818,176.5303038709841,VER
4,196.51586058453628,194.89585598817084,NOR
5,203.54890285113999,198.8609649721039,NOR
6,267.7738174317493,264.33602710857144,NOR
7,289.34487491388103,286.3246712869875,NOR
8,229.56152143197463,237.78125706051955,VER
9,151.69804732084333,155.3551703658558,VER
10,121.8026620368742,120.22455568664499,NOR
11,161.26760740679276,149.29488884692176,NOR
12,243.98602299204288,242.95725892155843,NOR
13,153.14879537349645,144.64331858300437,NOR
14,159.75455921062712,152.24598997905557,NOR
15,106.32554466008041,108.11687792529182,VER
16,224.70132686569562,218.18936068650584,NOR
17,234.55407826539684,237.50681373325554,VER
18,132.03623203639924,128.46656320688976,NOR
19,243.12657352049925,239.8435268227119,NOR
20,277.3514044377489,274.28488117769786,NOR
21,197.9460401416563,207.67429217048698,VER
22,165.21737980547186,151.9559678176644,NOR
23,221.02298790734736,218.67378252493654,NOR
24,234.8464935606349,227.98406180140785,NOR
25,260.68125088,257.6250013090909,NOR
