Minisector,BOT,PER,Fastest
0,291.04073335271374,277.747979064818,BOT
1,312.6776295564946,294.9622950384486,BOT
2,246.92995612201287,223.03268817737612,BOT
3,120.9492373519037,111.39693345551258,BOT
4,141.97643268275573,136.8574926988675,BOT
5,253.28333040638162,250.67506280684046,BOT
6,247.991488049474,242.7154033005714,BOT
7,131.8316258557781,124.45893317156569,BOT
8,250.5979668408264,248.5514486296743,BOT
9,265.0909189877556,254.48611181202742,BOT
10,210.845919340293,201.0239336887774,BOT
11,148.5680477163646,139.55507402954765,BOT
12,223.0503266839953,209.59524478328856,BOT
13,257.46620922272496,251.66997827449853,BOT
14,117.78948675847033,112.51924924164321,BOT
15,208.34033594507272,193.65304301664594,BOT
16,264.12450176598264,257.06356800003846,BOT
17,292.5170491418456,286.94392860261263,BOT
18,307.70004137062034,300.8883054628781,BOT
19,321.7264809161082,306.4958333866667,BOT
20,330.54048910173356,308.7296443590848,BOT
21,157.51327854849427,137.3698590198124,BOT
22,153.6829997155364,171.96202214889567,PER
23,183.75862599247807,188.61675849079722,PER
24,238.52608830591683,240.22608830715907,PER
25,275.5208373333333,,BOT
