Minisector,RUS,LAW,Fastest
0,298.11879007237746,289.0769258989051,RUS
1,165.84976054185634,160.62502477307493,RUS
2,155.7751004803186,164.99528355178683,LAW
3,233.01898387548715,231.9425233177957,RUS
4,285.6402991656517,288.870508667248,LAW
5,287.6516716672831,281.5731983978929,RUS
6,143.66192805061044,145.76035837145682,LAW
7,147.71350698895247,143.51664904788646,RUS
8,136.71894494517556,130.43354242853215,RUS
9,204.2294387382652,190.88033852831913,RUS
10,133.62473570610538,138.698005510065,LAW
11,132.95574160934262,127.51741397285764,RUS
12,177.40219268416965,178.31574230987889,LAW
13,272.46116540100127,271.38563412264614,RUS
14,295.12530966798613,293.90165538518255,RUS
15,154.6455888074056,154.30775701948554,RUS
16,206.713194113811,198.63294225703083,RUS
17,178.32619812732003,183.14345736222646,LAW
18,272.0968492174131,273.79886903158393,LAW
19,293.1677984000018,295.2787986441858,LAW
20,308.7023568444091,310.3542546691876,LAW
21,316.82315457423033,317.40619373833835,LAW
22,323.74725092932334,322.0712149719754,RUS
23,326.14773164157606,321.193248984103,RUS
24,323.9009328294844,310.1358280693957,RUS
