Minisector,RAI,RUS,Fastest
0,228.6174742210954,229.93063277879497,RUS
1,281.08186267375504,282.36842994871796,RUS
2,297.11371526349205,296.7380987732802,RAI
3,302.8531768858674,304.98106065454544,RUS
4,265.1508816818342,260.7459191566582,RAI
5,158.04119708053813,160.0087392374616,RUS
6,255.87379549316913,260.2503814671087,RUS
7,275.02638885925927,273.81760199459984,RAI
8,201.16930926312259,209.035846109501,RUS
9,214.17951501546338,214.99583357788794,RUS
10,174.00593577846627,172.69270690666667,RAI
11,216.54081854147498,215.72917317675254,RAI
12,197.30187378284458,196.5278627179999,RAI
13,204.47999862857145,202.22767751260503,RAI
14,217.8505420711789,209.1586915703746,RAI
15,174.7735951283759,171.11549184009115,RAI
16,241.44283578231293,242.41391887069787,RUS
17,282.98193478187864,284.06833373866664,RUS
18,297.475666688,297.32687678422985,RAI
19,292.53696549104046,288.61857551111115,RAI
20,126.77294740790092,128.73735767148023,RUS
21,153.49714882942456,153.83009617832246,RUS
22,143.58859150230822,140.73733964921905,RAI
23,199.91410691958689,202.7831238911706,RUS
24,140.7609478652954,137.74922525481344,RAI
25,,175.0,RUS
