Minisector,VET,PER,Fastest
0,263.3618000555664,262.5988567749413,VET
1,137.7437686230492,129.76728897163713,VET
2,269.7214565591658,261.97198315402295,VET
3,311.94790381449275,310.2032612972448,VET
4,310.69565973333334,311.56887402539684,PER
5,319.2037202603174,321.63308721914,PER
6,324.8216189504817,336.0154762467909,PER
7,324.9069199038638,342.2540953757006,PER
8,207.35600454932361,201.99081591578948,VET
9,194.4208238715452,188.8417714679391,VET
10,191.60331259205512,182.41529476703724,VET
11,165.58843211615186,160.115742608793,VET
12,255.19109230344827,243.6354977809811,VET
13,278.6398809904762,275.04935506767185,VET
14,283.1755648781441,273.59451949071513,VET
15,288.43808672429793,275.10372511604936,VET
16,184.55220620429975,182.35242867733606,VET
17,194.23409917693692,188.73475521417578,VET
18,241.23899150207626,234.89295365350804,VET
19,289.6530296146291,283.7724777958477,VET
20,313.4802518285714,306.89031181392915,VET
21,322.23280123059163,315.4722222666667,VET
22,321.2600753602531,310.6999481706004,VET
23,269.97344493597234,252.10435435383317,VET
24,116.22946276475056,115.87790358928586,VET
