Minisector,PER,SAI,Fastest
0,251.89411714504357,249.86012596657147,PER
1,124.4118391155204,119.69663177193596,PER
2,259.7868469361743,256.02121201965963,PER
3,303.85295083210883,302.9333773488552,PER
4,305.4982589734666,304.32032064610524,PER
5,314.62854438381396,311.98358149274725,PER
6,318.59262820512816,314.813742315873,PER
7,320.5726062369785,313.2000609188571,PER
8,184.73277763160198,183.76253713314057,PER
9,184.49343453437498,181.80923539374092,PER
10,181.02577617580602,170.8400510220358,PER
11,172.98906091781387,169.10111403067964,PER
12,244.15984594068584,251.3621576626163,SAI
13,270.21230568384874,268.74703942066003,PER
14,274.36791051278436,277.7886676819929,SAI
15,274.21962962962965,268.53191368441907,PER
16,171.9980295924463,166.9711050331108,PER
17,180.963795956139,175.6649411918992,PER
18,230.4535456484127,231.05504225613444,SAI
19,281.63432876705815,279.7562289377289,PER
20,303.56038957126043,301.1306130831911,PER
21,309.62558107051865,307.0580116752726,PER
22,308.7344357430857,305.2421330901745,PER
23,241.1636957125336,258.31914675699085,SAI
24,109.48072554765261,108.81479497649168,PER
25,223.8250048,222.0999936,PER
