Minisector,ANT,HUL,Fastest
0,299.143806699581,284.2735578684249,ANT
1,148.27124537975604,151.7582158530572,HUL
2,228.75538204111615,228.90167586083055,HUL
3,276.90279498512075,280.24488575007615,HUL
4,314.19315264366753,312.02078350708075,ANT
5,311.59545664758605,294.78652619957796,ANT
6,152.4855252171709,149.59275688257497,ANT
7,258.5632730552381,244.5099462919224,ANT
8,121.09343610604827,113.31659666964472,ANT
9,160.83529882848686,172.8452063963947,HUL
10,279.4953602441742,275.5028800759338,ANT
11,301.57970643483,301.7463129470707,HUL
12,226.5909419806349,219.78570803061393,ANT
13,168.58596372931052,172.05205657914567,HUL
14,277.0345455619048,278.6515048938338,HUL
15,313.82923883204626,311.1983210196273,ANT
16,327.5201386821256,325.90977496242425,ANT
17,336.4314541385621,332.58759129616163,ANT
18,338.9408729904762,336.99851026219886,ANT
19,340.11747304450216,338.17531248,ANT
20,194.96255759856217,198.74004012105596,HUL
21,176.43580489537817,171.1594273788516,ANT
22,280.6817143970696,278.7510689914207,ANT
23,312.7387263216213,311.0880524459985,ANT
24,327.0092900281129,322.57817364799996,ANT
25,,319.29707096089595,HUL
