Minisector,ANT,HAD,Fastest
0,310.3627388773109,329.9223295608391,HAD
1,248.57167779381908,269.3928677236428,HAD
2,131.4920157072132,130.2882531832612,ANT
3,214.05998433546785,211.48608946405702,ANT
4,263.5742564028988,261.9884124451243,ANT
5,290.1008911313837,286.3573529411765,ANT
6,305.51770563287175,295.16980392784313,ANT
7,294.0038889382067,274.52570461658803,ANT
8,177.11559730378377,169.27684339907836,ANT
9,235.63396032059487,237.60275316772035,HAD
10,272.0873265780058,270.49087962962966,ANT
11,268.78354600144775,260.692796901731,ANT
12,208.8095640081001,203.58027207572874,ANT
13,126.6345584499654,127.75688173353399,HAD
14,119.33873400753912,119.03996079888128,ANT
15,163.00089896837926,164.36845216188945,HAD
16,121.00503742222303,117.26586143500397,ANT
17,224.23446998890125,225.01348817523808,HAD
18,188.0511830789156,202.63331614359646,HAD
19,156.05649385027917,145.81165634217055,ANT
20,241.51906792703502,241.78566768441104,HAD
21,273.2269823858628,271.2788273013134,ANT
22,291.43256190431373,289.26727272727277,ANT
23,301.01812498,301.2467911424245,HAD
24,307.02241589270784,307.8926786514286,HAD
25,,308.3708330666667,HAD
