Minisector,GIO,VET,Fastest
0,215.17729870153562,188.4339342253185,GIO
1,183.4769625835114,264.37273343162576,VET
2,240.45236826865377,299.3093132862745,VET
3,290.6277683255949,311.51743041738524,VET
4,315.8889697254902,159.86511824106563,GIO
5,237.73687033300266,207.40642902958464,GIO
6,149.69895421621297,278.32936234664567,VET
7,250.63057547477445,302.38186221176466,VET
8,293.8685711918655,314.72601511260507,VET
9,317.28195589523807,249.5897399899327,GIO
10,320.3895788585752,96.97917531167256,GIO
11,115.71159517080771,226.9077101184265,VET
12,174.1476791072676,288.18657291851855,VET
13,268.6384182738637,310.668545108986,VET
14,303.5677113546763,220.507004288,GIO
15,303.2722231111111,121.81967505424056,GIO
16,129.13554544108956,236.19683347532467,VET
17,202.36071323076925,237.09534719114356,VET
18,258.7855556146046,167.04236074666667,GIO
19,172.31536671457934,221.4184287014306,VET
20,216.206706085211,200.79007543531193,GIO
21,187.01083923210354,251.94716476371883,VET
22,232.4697325193885,281.12713267041164,VET
23,273.1007352138063,292.9436803226891,VET
24,294.8379626074074,228.7143957333333,GIO
25,301.53333333333336,,GIO
