Minisector,BOT,ALO,Fastest
0,276.9809084471609,272.97746389932155,BOT
1,296.8944444888889,294.6012152,BOT
2,292.6165397921453,293.4722822971362,ALO
3,187.89973813583356,176.03832429931973,BOT
4,119.86469431585638,117.95995084810124,BOT
5,235.49785051499492,232.02983790107527,BOT
6,282.9558244577383,276.53767063812495,BOT
7,290.34775565128206,284.5046667093333,BOT
8,179.14481528093376,179.83481671526746,ALO
9,139.09953197345445,137.27012855149735,BOT
10,250.39864573548658,246.55958254222224,BOT
11,287.9993335954286,285.41264657677124,BOT
12,298.26495300334864,295.52048635555553,BOT
13,278.38408875018314,277.9413580246914,BOT
14,294.43725165640103,294.30268135238947,BOT
15,292.3334994773333,293.6102386895238,ALO
16,250.07106082294055,251.11910842006017,ALO
17,220.89962191515153,221.9676144095238,ALO
18,275.8942934421899,273.59143383351727,BOT
19,298.8330002773333,293.1281665706667,BOT
20,298.1639562180665,291.7405958952523,BOT
21,232.19648359386397,228.55954293809523,BOT
22,256.9784399521658,252.66210126613643,BOT
23,138.86783164096352,140.0124193162663,ALO
24,212.29737035373404,206.24054270693875,BOT
25,257.0500032,255.16875040000002,BOT
