Minisector,NOR,PER,Fastest
0,275.2636091471266,274.4275956158454,NOR
1,297.55233591111113,297.92358502871696,PER
2,295.54012461491055,297.51162034962965,PER
3,176.37358061225933,168.77655094682206,NOR
4,118.08752642575189,118.18996799685668,PER
5,233.0601204846453,235.45326854368994,PER
6,281.89779487022633,283.7166297035294,PER
7,287.2026902837234,298.7048478293333,PER
8,179.125840352363,185.3298538193005,PER
9,139.52704108315714,134.71821896239996,NOR
10,247.91948777025638,244.5512600239863,NOR
11,288.34946636726846,285.8683276486003,NOR
12,302.7768819266476,298.5371599129252,NOR
13,287.4860486952997,282.6157917156275,NOR
14,298.38758942765486,292.199411101998,NOR
15,300.26784739758733,295.377440792381,NOR
16,257.48781830750124,256.2644171264,NOR
17,236.04695958646076,229.35676957669494,NOR
18,276.28043789831105,274.51642108708575,NOR
19,296.60784168601873,295.5635374272799,NOR
20,303.3272513137148,296.09398718016627,NOR
21,237.00578567692588,240.42300760149456,PER
22,263.87846069544975,260.4889767246281,NOR
23,138.96896801416582,139.7467999710826,PER
24,209.44373073845682,208.09089041060673,NOR
