Minisector,OCO,SAI,Fastest
0,263.4464423883422,260.659916939346,OCO
1,125.25379858083234,127.14849104761905,SAI
2,196.53593351303692,193.06386710275288,OCO
3,246.8445494996683,243.6365042925514,OCO
4,259.44451921379425,253.71279354048883,OCO
5,170.09047679999998,173.92778925599137,SAI
6,139.8488961433954,142.5532384792381,SAI
7,182.1446056055322,173.22334779649302,OCO
8,102.90476983424813,98.18698563385846,OCO
9,73.37096645757187,73.82885614596708,SAI
10,93.65946438026246,93.31158215856361,OCO
11,175.3240056708776,177.33188852023332,SAI
12,245.4385529339279,244.71029643827538,OCO
13,271.0755046362055,268.21190445714285,OCO
14,281.0437978139194,277.9852563692308,OCO
15,112.71231051988946,110.97076482260438,OCO
16,139.32372600658638,138.413401250139,OCO
17,182.41059147282493,184.80546930974782,SAI
18,191.76916678141592,189.7526383244675,OCO
19,206.59782779788557,201.45304226083948,OCO
20,127.94541383695228,126.84132747741484,OCO
21,114.38461566043237,112.68956195506665,OCO
22,90.58411517675198,91.32943109431815,SAI
23,192.09489659084227,197.33016966793468,SAI
24,251.25992672823432,250.28396396799465,OCO
