Minisector,ALO,LEC,Fastest
0,298.76567464126987,308.0475050287035,LEC
1,281.17429769701823,290.5237316637681,LEC
2,176.38876433354972,168.06193247342173,ALO
3,200.3796719298183,198.64963203137253,ALO
4,218.73516846202875,218.54237018284599,ALO
5,264.9682997900763,267.92333354666664,LEC
6,235.1696080995966,235.54300580571427,LEC
7,208.42929263838383,202.24457086060605,ALO
8,182.23384347378547,182.1605857037838,ALO
9,154.94888046999748,154.22702063837954,ALO
10,189.57379153704002,185.06019696842105,ALO
11,189.7917952461601,191.12174655875342,LEC
12,189.76334138076226,245.21384160758427,LEC
13,166.56729869253877,166.63028627916353,LEC
14,247.03088854057498,237.40294608215478,ALO
15,272.25094104863354,276.0697981482402,LEC
16,261.6848755510044,278.00965162317846,LEC
17,255.23831990937262,270.6672001139237,LEC
18,249.9977057800935,253.2065705846154,LEC
19,241.9404772190476,253.12197884961324,LEC
20,260.50117490614406,213.76085500150378,ALO
21,189.57828812895187,167.5070499301969,ALO
22,224.4733688400325,225.64901810188172,LEC
23,274.2162689269841,277.73319233861287,LEC
24,291.6257125524969,298.4054384900433,LEC
25,297.3041674666667,,ALO
