Minisector,PER,HUL,Fastest
0,278.2479857747879,281.8252721158095,HUL
1,296.63614743088027,300.7035680419029,HUL
2,233.47430831758288,217.212402994023,PER
3,109.04536906913991,107.14470015079733,PER
4,127.47064641922469,128.28189740792186,HUL
5,246.82786069760002,249.95887485211418,HUL
6,241.55825534110923,256.74925279873014,HUL
7,118.77636863966318,118.02774125482053,PER
8,247.63331550234815,239.0934201293737,PER
9,256.9170765701587,236.243144353747,PER
10,203.99820452689357,196.4309151077395,PER
11,138.0184475191064,137.00956986808072,PER
12,199.77692013110212,194.96922927333333,PER
13,260.33386750720246,261.40447602529787,HUL
14,109.80053691327593,112.0123677766398,HUL
15,183.24941481820787,175.90804742647992,PER
16,252.1863807728538,251.85315066984128,PER
17,286.9038509152183,287.1486227994558,HUL
18,301.3877822326251,302.2440878749922,HUL
19,319.1590067861295,311.6852243166984,PER
20,328.80034740285714,316.53676695097744,PER
21,162.99297351889453,185.590709722482,HUL
22,140.85803632196001,121.0044402731114,PER
23,191.7420909709371,188.22428052342184,PER
24,237.12999436300632,216.58075448072455,PER
25,,260.93000042666665,HUL
