Minisector,HAM,GRO,Fastest
0,311.46117472499526,307.7647937381812,HAM
1,246.5178905499423,233.24219515409473,HAM
2,138.99628692426256,137.65681878603087,HAM
3,221.26588459543876,220.02444636259207,HAM
4,265.74032112147955,264.97617259964727,HAM
5,291.4477286433559,288.6426266634629,HAM
6,306.953692432017,302.806832109884,HAM
7,290.26810876026207,281.95859253333333,HAM
8,172.39197811677494,171.04949187094323,HAM
9,242.53696326850556,240.30632860104615,HAM
10,276.4653672822204,275.15400695864014,HAM
11,275.3205220976898,265.9667703983216,HAM
12,211.88191959493471,208.48437481212122,HAM
13,135.21227446657315,133.41968006109423,HAM
14,123.77259622301351,124.18016339969144,GRO
15,167.80127360898624,176.03447927553623,GRO
16,126.25315804590618,121.96944771570509,HAM
17,234.81962690611712,231.86794691047618,HAM
18,192.07257551223805,201.02340941796965,GRO
19,160.85947241033924,158.66642993941943,HAM
20,246.66228867809298,249.0484817413928,GRO
21,277.9445606719974,280.363281,GRO
22,294.6777654976717,295.25835750922425,GRO
23,306.30674619725994,303.723222009293,HAM
24,311.40034397877275,307.55791702267817,HAM
25,312.3250002285714,309.0,HAM
