Minisector,OCO,TSU,Fastest
0,305.78836298410437,307.73514290962964,TSU
1,189.7441202236553,182.0523303774638,OCO
2,113.21109201106499,113.89221935117502,TSU
3,198.50459162698414,202.33837284749313,TSU
4,255.89040554426504,257.3370161149783,TSU
5,282.87232665627704,284.9015386978201,TSU
6,298.3542602722078,298.10194223956995,OCO
7,243.08360703003626,236.3672899490137,OCO
8,141.7751215030303,144.54619214775605,TSU
9,224.43678790095237,229.1234407148961,TSU
10,267.8947028761905,269.58102457102757,TSU
11,234.71226546424242,222.4534770991023,OCO
12,175.31591434321268,173.92480517549302,OCO
13,108.5513973935951,108.31411835772087,OCO
14,105.56212576634027,106.16511388795772,TSU
15,149.6819592817316,139.7308309723158,OCO
16,105.41269984675415,109.47198455369971,TSU
17,205.18502533614267,200.7164049626554,OCO
18,154.89898414337662,162.3794020772209,TSU
19,147.15591029154584,141.74317910944208,OCO
20,237.73581776962405,236.61422048663476,OCO
21,270.3721640616785,272.0754116591825,TSU
22,289.7061454567003,290.9481429808035,TSU
23,299.6634069328254,299.73823580454547,TSU
24,304.37041971536956,304.95156248,TSU
25,,306.0,TSU
