Minisector,PIA,STR,Fastest
0,273.68317104110974,268.6990068191893,PIA
1,300.8629564495051,288.81747719241616,PIA
2,307.33037567222,296.4671224746032,PIA
3,121.3977966293976,121.07985538129036,PIA
4,184.12427575134086,192.83821595482019,STR
5,255.72135764649818,253.7387600577997,PIA
6,132.6365092053457,135.3700672333439,STR
7,189.49516080328533,195.80553415457615,STR
8,253.22198208435375,253.97925342353318,STR
9,278.7325826913851,280.486396363323,STR
10,231.10667858388214,224.65897822190536,PIA
11,164.0705433634938,174.0829452994239,STR
12,185.01443074563377,180.09485313316955,PIA
13,143.86297157855884,144.1981423373069,STR
14,171.68319991721043,171.6604499673471,PIA
15,160.9304902700748,155.3999234836252,PIA
16,208.58382834659523,212.27939403834142,STR
17,233.626216301296,231.29023633645517,PIA
18,233.75703873177002,232.5475725438322,PIA
19,234.6409169066667,229.95557383334102,PIA
20,142.93864448685275,137.9920231234913,PIA
21,130.53439089048138,131.2202607212638,STR
22,160.4645767161354,167.2243287218782,STR
23,149.65166068690823,143.78884004963143,PIA
24,224.2182306649785,217.35394490353826,PIA
25,250.70909323636363,251.25000106666667,STR
