Minisector,GAS,HUL,Fastest
0,276.44408441954937,277.7659712888889,HUL
1,293.2769731372482,297.4413417993586,HUL
2,224.25442922707268,225.92428443218392,HUL
3,129.00376062238462,125.97348679756229,GAS
4,182.4633997833267,184.79255221329777,HUL
5,122.98991706588076,120.76017936728347,GAS
6,211.71766059174604,206.7605057835686,GAS
7,256.84406459784736,257.25462463223283,HUL
8,175.66409889163197,177.3083761615331,HUL
9,183.6408074900614,179.42388204004203,GAS
10,263.3454868,264.5364123362319,HUL
11,187.40781507155722,195.4227939234598,HUL
12,170.09169872435277,158.73333746803252,GAS
13,257.9183389351923,258.84455933525066,HUL
14,272.52304985303056,276.84897151861475,HUL
15,283.99886361212117,289.74273167251783,HUL
16,205.0629325114398,203.95675395714287,GAS
17,190.74946557447078,185.15064406324578,GAS
18,244.60532209995984,241.00617102222222,GAS
19,282.5598315858544,285.4825444051481,HUL
20,293.14096323463207,296.6849205696145,HUL
21,198.49099145674506,211.22381681751682,HUL
22,149.25972502978922,142.50322236715186,GAS
23,156.18889403778044,154.7071561285854,GAS
24,228.39625346643945,224.92958854792758,GAS
25,,262.809127189409,HUL
