Minisector,VER,TSU,Fastest
0,286.5438667929051,304.0427796935818,TSU
1,296.0463769043478,318.01031761269843,TSU
2,285.9299633073819,289.02074827542936,TSU
3,119.28146519910611,108.84134578536396,VER
4,221.0231201032258,228.28170664515002,TSU
5,273.5369121461883,287.15750136935355,TSU
6,228.02110755555557,220.50596199560493,VER
7,161.9495100261932,156.69677099677617,VER
8,217.65238032380952,206.4051745304192,VER
9,221.21885651247146,215.60442713333333,VER
10,122.84848295110257,118.24325136587137,VER
11,223.25206422349208,229.26900923543383,TSU
12,128.31904192529282,123.88347368993024,VER
13,225.18311708444443,222.24563628698414,VER
14,277.6345719832381,278.8048383966005,TSU
15,231.0734847074996,215.360348627957,VER
16,192.75490321568628,192.3905455135069,VER
17,245.95637925910884,251.3929032908425,TSU
18,210.9526863139785,205.77982032421988,VER
19,182.2806443995327,178.67529821421337,VER
20,263.8660497414319,262.64078042486506,VER
21,285.3433841856502,288.5893119072464,TSU
22,181.90889112471663,175.36682964519994,VER
23,214.12619252596008,214.2854851096774,TSU
24,268.7772049759504,269.48442482936133,TSU
