Minisector,HUL,ALB,Fastest
0,318.8785716825397,320.1284231556663,ALB
1,324.9902777481482,326.99953507032444,ALB
2,318.7718072322233,322.0502383009524,ALB
3,175.06022882265123,167.70060096146813,HUL
4,137.01320239407409,135.94743108998776,HUL
5,268.5664802029471,268.7600492503556,ALB
6,299.094444647619,301.1035374017403,ALB
7,305.87145840000005,309.075,ALB
8,262.3879985432381,257.9682619977143,HUL
9,157.25865433456346,156.02973076178915,HUL
10,215.86830319999999,222.35267934482093,ALB
11,229.0187464678648,226.2545560681952,HUL
12,206.39485752303938,204.3776201204301,HUL
13,273.50359265783754,277.00984833939395,ALB
14,304.29101493696146,307.8419640380952,ALB
15,311.05119050158726,316.7803296676719,ALB
16,254.60299977142859,252.37266509402366,HUL
17,214.08910907979413,221.96247609039108,ALB
18,276.7394931478261,280.7155724598268,ALB
19,307.47779817912533,310.73842378735435,ALB
20,320.3579364910053,322.24868429473685,ALB
21,300.5751169538221,290.1326132340261,HUL
22,210.99730335961866,213.4375848471655,ALB
23,267.2512479885486,273.3334700079485,ALB
24,302.5771476405797,305.7009525180953,ALB
