Minisector,BOT,NOR,Fastest
0,257.6705217735752,258.8895855014548,NOR
1,132.74718074934498,129.01754626147994,BOT
2,263.0421134145893,268.6667824289745,NOR
3,303.3173114902327,309.50696639999995,NOR
4,302.84174114285713,306.063813575041,NOR
5,309.08636979157575,314.69258074013607,NOR
6,315.2905863901235,319.90506720817564,NOR
7,316.69283943427456,315.01962170340136,BOT
8,205.07385736069347,195.59026626429312,BOT
9,198.11608139537566,197.3307232970403,BOT
10,184.47436734303437,175.48879403948138,BOT
11,167.42925946472192,165.38179321377163,BOT
12,252.37828293414955,254.52239870520637,NOR
13,276.2866056894407,280.49470537788324,NOR
14,279.43905668253626,286.7447241754205,NOR
15,279.18456363614524,271.9493335339402,BOT
16,182.32092719325144,182.2733216283782,BOT
17,193.22027229798033,191.73728699768546,BOT
18,241.19366301681043,245.80890720615056,NOR
19,286.23177840865617,291.07917341520675,NOR
20,305.8114582761905,312.10043093333337,NOR
21,312.12890514957223,320.6875220656085,NOR
22,309.83776453192235,314.43981483456787,NOR
23,260.64389364343367,245.91652244095783,BOT
24,114.25145466071461,113.16817408005971,BOT
25,227.5249984,,BOT
