Minisector,PIA,TSU,Fastest
0,287.48670923683375,289.7060003337143,TSU
1,297.866506747176,300.1535234900585,TSU
2,303.9552695215686,306.5166665955556,TSU
3,297.34785030614194,309.6464223472278,TSU
4,202.82049808816328,191.73043429569788,PIA
5,221.91400942185876,215.8771511128781,PIA
6,267.9627413977489,266.5046594448254,PIA
7,268.5303625950877,254.7996213708309,PIA
8,200.4229862728205,191.6088775471921,PIA
9,142.5370853450623,146.5433128605217,TSU
10,183.80200310935643,176.407175067344,PIA
11,263.47004988730737,262.8211148461196,PIA
12,249.16568049709727,244.85393395824917,PIA
13,229.6677571534083,226.62594769416899,PIA
14,270.50268117471865,264.8090810845781,PIA
15,176.5097914652215,167.7228582193696,PIA
16,223.70785869775239,230.22764576080203,TSU
17,235.77347572760934,246.09427720316086,TSU
18,135.52121438231455,129.30183585698106,PIA
19,242.9923924013822,240.05704365872805,PIA
20,283.324455203609,283.6226821843478,TSU
21,267.1693714622745,246.79088626549938,PIA
22,144.70685773645022,137.81442921082458,PIA
23,220.11000155647076,209.30844975551577,PIA
24,268.9444053942857,268.1378426578369,PIA
25,,281.0593744,TSU
