Minisector,VET,RIC,Fastest
0,279.480777340056,283.5507011226891,RIC
1,118.49873034185464,124.79870251004914,RIC
2,162.54367114757613,154.60491111632217,VET
3,215.60170385454546,211.26539826086955,VET
4,161.00097403504734,163.85391737865913,RIC
5,245.80597650526315,243.68223724912278,VET
6,203.73623021449274,218.91497187138017,RIC
7,136.07319604761904,132.98210595775964,VET
8,235.43500016,226.73770821333332,VET
9,279.98727688571427,274.5620043174603,VET
10,283.07352847058826,278.87270643790987,VET
11,145.76060337618694,148.28957351029186,RIC
12,222.4405299016785,217.33159202016412,VET
13,275.92708319999997,271.4972907381294,VET
14,271.50952380952384,261.41001857354496,VET
15,100.86050989922958,97.0414655512244,VET
16,220.49488055037315,213.33901078257023,VET
17,274.5125701539077,265.8575983686274,VET
18,302.76666666666665,291.9668653206349,VET
19,316.32787115684584,302.7127838525779,VET
20,323.83166656,308.5045839766061,VET
21,297.44444444444446,285.1522046117647,VET
22,157.66979121292925,153.4287478995078,VET
23,241.46224850125313,234.19210560000002,VET
24,285.89328861122357,275.71185099771367,VET
25,299.71249919999997,287.20416746666666,VET
