Minisector,SAI,STR,Fastest
0,298.76151966535946,292.15023447333334,SAI
1,231.61889179963242,225.0488950811944,SAI
2,132.47858844578113,131.10912938194005,SAI
3,216.1162971059649,211.16302803751327,SAI
4,260.4172662716792,259.1392307082251,SAI
5,285.7643292793651,285.23981412063495,SAI
6,298.48905187321515,298.48961723117606,STR
7,274.47187038419753,267.7533527967347,SAI
8,169.92221360693236,164.9986186411865,SAI
9,238.89091544177776,233.062776608,SAI
10,270.9900145954294,268.2701398151871,SAI
11,262.0746925108846,259.80107880602793,SAI
12,205.2775734100585,207.2143622360494,STR
13,121.70266545524001,119.79466822513609,SAI
14,123.72804445924206,124.20355917712622,STR
15,156.17963484075537,159.10424595827664,STR
16,121.79280532509938,122.78249330102881,STR
17,234.20951905352507,222.16280481596374,SAI
18,170.0728456295596,184.7559192852971,STR
19,160.95350315567597,152.20497358867655,SAI
20,242.1667422071178,239.85123661414568,SAI
21,270.82825754385965,268.4677706421164,SAI
22,288.95900619871753,286.31571387697477,SAI
23,298.24982133714286,296.9687107766667,SAI
24,303.83835964444444,302.5393222486195,SAI
25,,305.0,STR
