Minisector,RUS,LAW,Fastest
0,261.3494180942203,253.91330740500052,RUS
1,134.22331234128586,132.23555669093906,RUS
2,267.45982472135864,265.87220034552115,RUS
3,309.35808660540954,309.1704940309286,RUS
4,310.6730780369358,308.3874570910476,RUS
5,321.3169882132996,316.97304530428147,RUS
6,326.42553007721847,321.19999995555554,RUS
7,328.5512137708212,316.4749066257396,RUS
8,204.14865607869336,203.56851592496392,RUS
9,197.39084656568437,201.64407143647895,LAW
10,181.35876273155947,189.9298174087251,LAW
11,167.70494646426397,167.8964091330226,LAW
12,254.61958754481566,255.33410617523808,LAW
13,280.09781174925973,275.640773905391,RUS
14,284.1654798973698,280.224791372517,RUS
15,283.9267440344472,267.0912066590735,RUS
16,169.15766934060946,177.15618656359132,LAW
17,195.66273879334022,196.85890548522042,LAW
18,246.33404215288888,242.5292338178522,RUS
19,290.3519803005257,290.6965977894016,LAW
20,312.60589864589775,310.88664120242424,RUS
21,319.7235117661453,316.2388816628916,RUS
22,318.04996997147697,312.73862478061614,RUS
23,270.51376695848205,271.211992160154,LAW
24,116.42936013120958,120.18172250954365,LAW
25,,227.21428114285715,LAW
