Minisector,LEC,RAI,Fastest
0,276.26880063635303,269.897566555486,LEC
1,295.21686850030454,287.7925158229114,LEC
2,301.31587190075606,295.84394463433813,LEC
3,126.92165825186075,130.6725740702939,RAI
4,200.40714648398918,190.77792886949612,LEC
5,259.87790198986494,255.04684275267272,LEC
6,139.056372207406,136.60139448239303,LEC
7,208.72817060703466,207.58388443748555,LEC
8,261.9954518207464,260.28131570173457,LEC
9,284.09958335636543,280.9001693969607,LEC
10,241.07137060474219,237.49828313074963,LEC
11,178.92758966075857,181.77223869273791,RAI
12,194.99676032845923,191.42834636964176,LEC
13,145.13977970135278,145.5139624092452,RAI
14,177.51090074354735,174.84359218150772,LEC
15,162.10995599693925,159.69984114542538,LEC
16,220.54061993312177,215.4015340189555,LEC
17,235.93268702058282,235.7029755120652,LEC
18,244.8335460808123,237.50098126210514,LEC
19,239.51776410598228,246.17687953205203,RAI
20,146.13685938978742,141.96962977105616,LEC
21,133.72555286620965,135.53712214757192,RAI
22,171.52014926712,169.81573030588157,LEC
23,149.67204534671842,152.09765526504845,RAI
24,234.26003353532292,229.42973824914068,LEC
