Minisector,HAM,PER,Fastest
0,304.1606330743936,307.9995019788101,PER
1,146.28869769605777,145.44106446509926,HAM
2,212.72294173175612,212.32884492913038,HAM
3,276.9847508384416,271.8636362938932,HAM
4,313.5411788098927,310.96120046553483,HAM
5,323.8099100612615,318.3794371733333,HAM
6,148.67236482190708,151.76315168793604,PER
7,247.2873942708265,240.1398821684261,HAM
8,126.93754926055152,115.26855296942222,HAM
9,143.84973257448067,148.56613098881252,PER
10,268.03624781103423,270.2651363280591,PER
11,297.7002742209524,298.7292534469264,PER
12,253.49164271827235,245.55706291247165,HAM
13,153.2459350904423,153.0336430885565,HAM
14,266.944806070876,270.51423924679676,PER
15,305.9411815478324,305.910604389234,HAM
16,322.60017941243757,322.69964308705886,PER
17,332.25564924081635,330.5597188146609,HAM
18,337.35459380000003,332.1997941532027,HAM
19,336.7910739117255,328.71383662666665,HAM
20,226.62892702164814,201.35350568086687,HAM
21,151.03955060381142,162.3837586631111,PER
22,272.61443117180323,274.0733257751642,PER
23,309.85940537627704,309.44185565513783,HAM
24,324.7323351089324,323.8186756178537,HAM
25,321.4124992,,HAM
