Minisector,HAM,RIC,Fastest
0,274.5333773209529,273.6000373688889,HAM
1,299.57956079999997,298.2659493252873,HAM
2,312.267768167619,310.7257222682786,HAM
3,318.4057417804422,318.65524168694674,RIC
4,321.0956737429302,323.4726191537415,RIC
5,322.6861111365079,325.76244805333334,RIC
6,199.05725918837027,198.6479463061771,HAM
7,107.0364613600938,102.68666083712601,HAM
8,189.7773940694171,187.53027784682033,HAM
9,262.5665657050505,263.53972019292945,RIC
10,290.62218547092436,291.06604431939394,RIC
11,158.10195080360845,162.57540666320472,RIC
12,96.5904776026822,93.29877203765382,HAM
13,112.87925760912913,113.17640018904683,RIC
14,224.68295797493732,219.12070329693685,HAM
15,184.67838749634086,185.4917209446728,RIC
16,226.8809652603509,219.34748317312685,HAM
17,178.6336200902052,171.15498006612944,HAM
18,234.50101128698412,228.07863953279852,HAM
19,278.2644261928572,275.9326641317647,HAM
20,228.51865490777033,245.91357221632765,RIC
21,142.89965716563236,143.11573892399932,RIC
22,95.4100068283111,91.0645258320281,HAM
23,122.12741599450202,121.61033049124885,HAM
24,226.4950705347973,217.04011213511112,HAM
25,257.30192196923076,254.51134394074074,HAM
