Minisector,BOT,GIO,Fastest
0,310.2617119890284,298.9727167285245,BOT
1,239.06388806464645,238.57732069767937,BOT
2,131.43012905584038,133.01519886937263,GIO
3,239.39502618108074,241.13642419445046,GIO
4,186.1225261000414,184.53184903861782,BOT
5,245.4231025498819,242.22343773333333,BOT
6,227.1004896362007,228.47534829200734,GIO
7,256.66599497634405,251.86799277910904,BOT
8,293.43427445144323,286.06862880902344,BOT
9,205.3479159338346,214.21909386666667,GIO
10,205.6702754978918,198.17379711289675,BOT
11,274.8185163047619,269.2803182628571,BOT
12,211.31703261983918,210.67499842962962,BOT
13,251.5402247973153,241.90043132559137,BOT
14,294.134833069545,283.37074900136054,BOT
15,311.4759647751608,297.7247121739611,BOT
16,314.5069789740865,302.9008012307692,BOT
17,225.83733500656157,231.480650285695,GIO
18,269.9005509939607,259.23847331555555,BOT
19,304.20316680533335,288.3135296223982,BOT
20,320.7797010692461,301.4490388102564,BOT
21,318.41173092698415,304.51618754713877,BOT
22,148.62140827733896,160.23979552914287,GIO
23,237.83638927493627,225.98348440363557,BOT
24,299.246723102188,282.3619716345679,BOT
25,313.6166666666667,295.85572142471716,BOT
