Minisector,LEC,VET,Fastest
0,297.883928431746,299.91865344799584,VET
1,301.6491227508772,304.20764771076546,VET
2,301.65796077886347,303.8767553122807,VET
3,215.41466168888888,218.16028447719162,VET
4,223.52503048144808,222.45819845860808,LEC
5,119.40640751719013,120.69189232753125,VET
6,223.96399880533332,226.85644479114336,VET
7,264.4439390545454,268.67757030951947,VET
8,233.41992850856784,219.6931647078189,LEC
9,122.02999788432146,123.61884889076089,VET
10,238.76775262608697,241.47224198317556,VET
11,247.15766737066667,250.5207622678261,VET
12,133.60360335450565,134.8977665066628,VET
13,218.73951659775258,219.9988262846271,VET
14,264.2360503652174,267.05416604444446,VET
15,216.043311265295,223.36150282694277,VET
16,167.45465565490196,167.39986966502144,LEC
17,244.8266821877005,245.40639390347934,VET
18,127.73645326376811,124.65736614996895,LEC
19,149.66963580589496,144.93885936288703,LEC
20,203.7541438802721,196.44927117404873,LEC
21,255.87435354985294,254.4169011335879,LEC
22,272.61456828952385,273.24288467493636,VET
23,281.8763887238095,282.61952958556395,VET
24,290.5048806857143,292.55209335124704,VET
25,295.33333333333337,298.4083328,VET
