Minisector,RAI,LEC,Fastest
0,316.1536488088963,311.8859382341931,RAI
1,229.54478973333335,240.28609259371024,LEC
2,133.16486501692708,133.50974953908616,LEC
3,224.87019132229406,224.00363283843384,RAI
4,271.35448168826525,266.9693071342389,RAI
5,297.25430536685116,291.65904592806777,RAI
6,310.4269133714286,306.2221090337144,RAI
7,292.11842706832925,290.00179976162383,RAI
8,175.05851793205477,173.39669719187702,RAI
9,243.70805262003196,240.6365614927671,RAI
10,279.9550558674472,276.1907465753406,RAI
11,269.8272760839171,260.8148082106996,RAI
12,211.07512750909842,202.43673452449033,RAI
13,130.70656912631867,130.57750192680112,RAI
14,124.14011680287426,127.26257474296082,LEC
15,171.6185042734039,170.0305834952386,RAI
16,123.77218494098696,123.87123714622741,LEC
17,235.78003489427743,232.0606646764032,RAI
18,194.16122063646452,195.27424237540126,LEC
19,166.15619280827372,164.0464734686806,RAI
20,251.93510989986873,251.88575590702854,RAI
21,283.92731739301246,281.0984176440257,RAI
22,301.8127035363833,295.94810497560746,RAI
23,310.27055566222225,305.556207607301,RAI
24,313.96517233911305,309.47249977083175,RAI
25,315.8642861714286,310.67083413333336,RAI
