Minisector,ALB,RIC,Fastest
0,292.21054207823937,295.20354176,RIC
1,288.62260857260895,293.9333528819411,RIC
2,168.95912632611834,158.76558393940746,ALB
3,230.32369308583918,230.38242828985506,RIC
4,274.77741268370926,283.83734335839597,RIC
5,292.07190049356285,309.3495798588235,RIC
6,297.6994362940032,315.4269956929972,RIC
7,156.88147205662418,166.0013725490196,RIC
8,142.44262237176224,135.9154457392802,ALB
9,253.00367557308834,249.80674603174603,ALB
10,282.16282675212364,281.68327099348375,ALB
11,286.0007042365915,286.41203703703707,RIC
12,147.83856605738765,151.45619385945946,RIC
13,206.44631515897436,203.73880025747738,ALB
14,262.2201303704534,257.8727890140589,ALB
15,209.4086229146739,203.6330471552402,ALB
16,229.52229609606627,227.84420289855075,ALB
17,221.7806659272749,219.67466641066665,ALB
18,252.18724009333332,248.79434194223185,ALB
19,277.11352590820627,275.5762501866667,ALB
20,290.6389446343567,287.88199800462365,ALB
21,267.4354158933333,258.92154810947187,ALB
22,230.01737242344223,226.2442702666667,ALB
23,217.28752638192182,209.0557581197327,ALB
24,269.84529814260316,264.2438493968254,ALB
25,,283.4500010666667,RIC
