Minisector,HUL,SAI,Fastest
0,289.1618788510363,287.6426458352941,HUL
1,138.03632657924163,126.47827362265106,HUL
2,137.75434952707246,149.6344940723196,SAI
3,227.8616536220109,223.99206273015872,HUL
4,159.0745536530783,157.11384160467574,HUL
5,238.04122683508774,243.9224542222222,SAI
6,232.58453959183672,211.10760575072464,HUL
7,130.4537281824192,131.50122410039216,SAI
8,225.44071967607098,232.72290577224538,SAI
9,273.1724818222222,278.59173714285714,SAI
10,288.4898357600307,286.63999188571427,HUL
11,157.25799752634921,144.19147512539539,HUL
12,208.1181114900037,219.4272465177489,SAI
13,265.30773732063494,272.27919449996836,SAI
14,280.2376150265387,288.04305564444445,SAI
15,105.28722527234387,115.66882547384128,SAI
16,205.0553177123634,196.41878977722567,HUL
17,266.2086485214286,266.27230469019605,SAI
18,291.2093746,292.0265628,SAI
19,302.28674263342407,305.6971429892064,SAI
20,309.15111104,313.0845239238095,SAI
21,301.42166848,306.51901888608717,SAI
22,156.30129462643552,156.78749955555557,SAI
23,226.3361094095238,218.06278318278234,HUL
24,274.90908756610037,272.7078779666667,HUL
25,,288.63333404444444,SAI
