Minisector,PER,VET,Fastest
0,251.89411714504357,250.74842151947433,PER
1,124.4118391155204,125.97840477913559,VET
2,259.7868469361743,256.8623410670442,PER
3,303.85295083210883,300.77156572617145,PER
4,305.4982589734666,302.9897518380513,PER
5,314.62854438381396,311.03518979582867,PER
6,318.59262820512816,314.9662674377778,PER
7,320.5726062369785,315.60220780524554,PER
8,184.73277763160198,182.8812825429223,PER
9,184.49343453437498,184.74361156875526,VET
10,181.02577617580602,172.97833196414334,PER
11,172.98906091781387,168.92671007596675,PER
12,244.15984594068584,249.9662329251423,VET
13,270.21230568384874,266.3480507810131,PER
14,274.36791051278436,276.10504202104994,VET
15,274.21962962962965,262.58072063782316,PER
16,171.9980295924463,165.08631618345305,PER
17,180.963795956139,168.69311379102177,PER
18,230.4535456484127,232.5178990156487,VET
19,281.63432876705815,276.4559985330403,PER
20,303.56038957126043,298.28183303314233,PER
21,309.62558107051865,307.26373241359204,PER
22,308.7344357430857,306.16165361535724,PER
23,241.1636957125336,227.55488942208495,PER
24,109.48072554765261,110.38359219646307,VET
25,223.8250048,,PER
