Minisector,NOR,RUS,Fastest
0,249.36069129225442,244.40849207505065,NOR
1,284.1860209253333,284.4680790341818,RUS
2,158.75548451663593,181.8553309336312,RUS
3,170.0749862029426,159.20962786166683,NOR
4,257.49087904447066,255.12869014516926,NOR
5,265.4170667444976,264.96192443919716,NOR
6,235.1989538881119,235.41110832245076,RUS
7,207.5551718727104,211.08245614171514,RUS
8,163.213173869325,160.71862196631983,NOR
9,221.05940045113255,211.31875606471243,NOR
10,272.17483367915895,269.85533969850337,NOR
11,130.47539843823537,129.10306334559542,NOR
12,216.93100083065661,207.4512004511611,NOR
13,275.87538988549846,273.41527931759833,NOR
14,298.88293145333336,296.759630903385,NOR
15,308.4552631578947,307.02705606212913,NOR
16,247.18691331200134,251.696824213665,RUS
17,130.45736889063338,128.57553744133037,NOR
18,131.0572226082526,128.6068882028163,NOR
19,122.7413453426708,116.774340035008,NOR
20,221.5910517934118,221.56414118115484,NOR
21,248.4787757484737,259.82733592613545,RUS
22,245.51051887542857,238.04899580738547,NOR
23,222.76179913035114,216.71924134446888,NOR
24,135.49343724937188,138.84887136305787,RUS
25,216.0888888888889,,NOR
