Minisector,RUS,SAI,Fastest
0,293.25854158933333,295.71231020071025,SAI
1,305.2180201231614,315.22516666666667,SAI
2,309.18402880802006,318.80437789601274,SAI
3,186.92295432344125,180.69779226492622,RUS
4,210.27849195936508,205.8634208096587,RUS
5,206.59298290796255,198.3128437120912,RUS
6,264.9310512971705,261.7877928786769,RUS
7,260.1274683841833,267.68253635710147,SAI
8,216.94938540259741,213.15266364400551,RUS
9,210.66698212633202,221.78888686820792,SAI
10,137.47047175059296,139.14747641800557,SAI
11,204.21833355419815,200.38847808793645,RUS
12,185.421186590823,185.5450153058564,SAI
13,254.81558725587303,252.78281894749924,RUS
14,180.63793950517373,180.41296533176472,RUS
15,234.00316771555558,229.52337646337662,RUS
16,281.21952689975075,278.2515305953954,RUS
17,292.1419586213152,290.7461850569697,RUS
18,284.89121173399224,288.0079678278363,SAI
19,267.4597224622222,273.91775404768975,SAI
20,266.3746565643699,268.723673809858,SAI
21,260.24735051993076,262.9057331495527,SAI
22,249.91032955897842,229.80934154202725,RUS
23,208.7605987525199,209.569069072987,SAI
24,270.2614999395692,268.78212237183175,RUS
25,285.5,285.01666666666665,RUS
