Minisector,PER,HAM,Fastest
0,291.79608396642215,312.8165698499002,HAM
1,299.1812919744538,322.0907417459341,HAM
2,217.97603740661728,248.6669167879699,HAM
3,140.47478535483629,137.2761723078403,PER
4,219.3241519052237,222.23156739302135,HAM
5,161.76317054256694,166.42228747391405,HAM
6,169.2035304816357,166.93413457751433,PER
7,252.33748954138647,245.65941592900433,PER
8,277.53760565122445,277.74983795555556,HAM
9,285.31812507123806,286.52598644341225,HAM
10,275.8085478577857,265.33193647662307,PER
11,243.56923076923078,231.70946241342403,PER
12,244.13633871390476,241.38646393773948,PER
13,215.3898460777022,210.83093244617604,PER
14,131.66743083455503,129.22600970013738,PER
15,143.1311554399428,143.59181748963923,HAM
16,170.97014448956133,167.19891703656188,PER
17,242.54541687810124,245.26698921289275,HAM
18,236.6835086677376,248.4843588570731,HAM
19,113.45713356374958,115.42895408900982,HAM
20,190.08799038308848,189.3338775887403,PER
21,198.98785884381826,200.9925870543035,HAM
22,231.81033807788452,232.7957083491639,HAM
23,261.4402628778625,268.608619394211,HAM
24,279.84358473724114,294.1047779027059,HAM
