Minisector,NOR,ALB,Fastest
0,275.6839808463768,276.16905512072253,ALB
1,297.05856418191627,297.73211071515215,ALB
2,295.83228912,297.40263543191156,ALB
3,180.04254265957593,176.3954887433739,NOR
4,123.71381549654528,115.6744517679884,NOR
5,239.1981187425496,235.97798065588287,NOR
6,281.4182104178679,279.50344306056,NOR
7,294.43672309732426,293.92588949903876,NOR
8,188.36991823392736,184.27835937842295,NOR
9,144.08989882123035,133.95479255346433,NOR
10,251.84226154909092,249.28700313668014,NOR
11,290.4040596136616,288.16959250351965,NOR
12,304.3977388728716,304.1649073750049,NOR
13,281.8928624162319,285.40046034052983,ALB
14,296.4589686865561,297.1804265628241,ALB
15,298.95057402037264,302.0656817131313,ALB
16,252.37223665942233,258.10859286210814,ALB
17,230.247060491436,228.81043589359064,NOR
18,277.34804779035153,281.24880667610194,ALB
19,299.26109939250796,298.2896149787868,NOR
20,299.43748373803123,306.61895990924756,ALB
21,238.7218594370236,241.5418581007238,ALB
22,263.16494753862435,261.0162386869662,NOR
23,142.82933903774946,144.2697972647208,ALB
24,217.38731456809214,211.58309355805775,NOR
25,255.89441029343018,258.6500010666666,ALB
