Minisector,NOR,LEC,Fastest
0,277.5682737350702,269.06624922245305,NOR
1,303.2016110806719,291.02873452013495,NOR
2,307.6245595840822,297.73191029826216,NOR
3,120.26132234733063,122.39676775424678,LEC
4,194.13684242504203,186.4340125929184,NOR
5,252.1085116874283,251.5331776549382,NOR
6,133.22375757164465,139.39410148718298,LEC
7,200.11479778290956,196.2908123993957,NOR
8,257.87416048589404,252.74436244798133,NOR
9,281.46114481347814,279.3305799599783,NOR
10,228.87963054779897,236.19335178207345,LEC
11,173.5382780676646,173.43803823731957,NOR
12,191.32826395497958,183.8658617425972,NOR
13,138.88247297473353,144.246687710892,LEC
14,171.5304006449992,177.86302819814173,LEC
15,159.58300547133902,158.80068421742232,NOR
16,216.4196346967366,205.85876698450102,NOR
17,234.48553537765096,232.66708310528824,NOR
18,239.85383572906244,235.77845424011412,NOR
19,224.81199580534346,249.65924444012822,LEC
20,142.33755185112992,134.71142810999805,NOR
21,125.67178655053655,136.1626673798058,LEC
22,168.6069601365894,159.46910465583642,NOR
23,151.6505574029861,146.0901484903633,NOR
24,227.24588875316417,222.21191681622463,NOR
25,,255.09999893333335,LEC
