Minisector,GAS,OCO,Fastest
0,254.27018480643474,253.68888031783686,GAS
1,218.0830045678109,214.85535952437573,GAS
2,203.65146647188448,202.360476561338,GAS
3,255.9699875318525,255.390233221022,GAS
4,271.05985963011057,266.590902032162,GAS
5,286.350259121552,288.25261341599304,OCO
6,168.15540758840228,166.89835555378428,GAS
7,175.16764205067074,178.59635845682706,OCO
8,265.7741125626498,267.5022261754929,OCO
9,290.3542629811371,293.1200568875573,OCO
10,300.65639520288073,304.0183068318192,OCO
11,300.3596840986575,309.51345487480756,OCO
12,114.83119214210197,113.28966178942304,GAS
13,186.5023852605536,179.5039017425305,GAS
14,268.97568756211064,270.50518732696463,OCO
15,292.6262567874599,296.4661891927566,OCO
16,300.80038859007914,306.0839242880529,OCO
17,186.80065416069255,182.24549444020644,GAS
18,223.35146583131046,216.71555426118113,GAS
19,268.308136067599,263.07621646244627,GAS
20,157.14357141404662,153.14291130601202,GAS
21,143.3944220279269,140.91097682738834,GAS
22,217.15088683569567,214.98721447893138,GAS
23,231.69603872504882,228.8408028657014,GAS
24,157.7000854523703,152.99332549898915,GAS
25,225.33333333333334,224.37313556397,GAS
