Minisector,LEC,VAN,Fastest
0,302.6308503715547,294.1003607652174,LEC
1,160.2536069379791,155.1585739531888,LEC
2,160.97845853316144,152.382298332693,LEC
3,203.42355735187573,219.23029727422002,VAN
4,278.438224742029,281.7452349796368,VAN
5,293.28996174545455,285.6942017590062,LEC
6,149.879896421475,144.55192298007412,LEC
7,140.62839117976864,138.43469790751314,LEC
8,165.41555237508416,151.0550436503411,LEC
9,154.17114345381364,172.2932930522774,VAN
10,138.05603514266005,130.51831468698236,LEC
11,130.87201026842172,125.67263773763716,LEC
12,144.75179006354918,156.0402852771179,VAN
13,254.99428399037888,261.5150267254732,VAN
14,282.35208346666667,279.1323499991718,LEC
15,153.80060898861788,148.45034005144407,LEC
16,205.43406264778557,210.3038043957889,VAN
17,156.17956662315024,157.20572737034527,VAN
18,256.86111952457145,264.2875436303378,VAN
19,282.03796005541125,286.9675210222424,VAN
20,291.9430399030303,297.7943179151515,VAN
21,301.62784096969693,306.0103132070897,VAN
22,306.8799603301587,311.68968243809525,VAN
23,310.62083333333334,314.5788094628571,VAN
24,308.23920450909094,312.57976203174604,VAN
25,307.0,311.0,VAN
