Minisector,BOT,STR,Fastest
0,276.9809084471609,276.24189986938774,BOT
1,296.8944444888889,298.5210548733654,STR
2,292.6165397921453,289.9912143908571,BOT
3,187.89973813583356,177.51160070889938,BOT
4,119.86469431585638,115.40226316130624,BOT
5,235.49785051499492,234.27446110967742,BOT
6,282.9558244577383,283.0934466472836,STR
7,290.34775565128206,292.23516727466665,STR
8,179.14481528093376,170.67438756039277,BOT
9,139.09953197345445,138.0995390362761,BOT
10,250.39864573548658,247.9287344183908,BOT
11,287.9993335954286,289.6902699999169,STR
12,298.26495300334864,302.2971668906667,STR
13,278.38408875018314,272.9121452882649,BOT
14,294.43725165640103,292.75992826514283,BOT
15,292.3334994773333,299.9213907720403,STR
16,250.07106082294055,249.24521884269294,BOT
17,220.89962191515153,211.42917467705954,BOT
18,275.8942934421899,274.933012225641,BOT
19,298.8330002773333,298.7979962001941,BOT
20,298.1639562180665,297.01602466172847,BOT
21,232.19648359386397,224.50616860958638,BOT
22,256.9784399521658,250.9647125310094,BOT
23,138.86783164096352,135.106687902063,BOT
24,212.29737035373404,206.33112155146782,BOT
25,257.0500032,258.0166656,STR
