Minisector,NOR,STR,Fastest
0,298.50590027203475,315.5572717488212,STR
1,206.4051817333333,207.05303721754927,STR
2,138.13649755836224,137.60710752185275,NOR
3,215.93985595370242,213.58059368123995,NOR
4,154.45534623837366,156.34500313048574,STR
5,179.1986340996633,179.14286433641024,NOR
6,252.76603231923227,250.85224899963833,NOR
7,277.36434116929877,277.4753784491775,STR
8,284.43359269925924,284.0744114967273,NOR
9,257.3683346719564,255.1477408724205,NOR
10,241.04755475575632,241.88818697994552,STR
11,238.0926336023585,235.60293182729606,NOR
12,202.23285662823363,198.4294277185185,NOR
13,133.17249286486486,127.09611826284507,NOR
14,137.9442084297933,135.72763369019304,NOR
15,185.30979679800254,171.8624690549155,NOR
16,259.8034541827819,255.11754050792533,NOR
17,235.2261056956862,229.78561401325987,NOR
18,109.92969607936507,111.52051758700105,STR
19,200.55304872597134,194.52879810525255,NOR
20,190.52978155642387,195.13724698933007,STR
21,229.3936872338614,230.39859153309945,STR
22,268.6708748963988,269.19089336461155,STR
23,292.07310582753246,293.5792205415758,STR
24,312.4882799015202,310.73937500799997,NOR
25,318.60833279999997,314.1,NOR
