Minisector,HAM,VER,Fastest
0,311.46117472499526,306.2494018557522,HAM
1,246.5178905499423,238.63223804018307,HAM
2,138.99628692426256,138.7238074936591,HAM
3,221.26588459543876,222.8689571835385,VER
4,265.74032112147955,265.8409323442341,VER
5,291.4477286433559,289.62252133519695,HAM
6,306.953692432017,302.30690487873017,HAM
7,290.26810876026207,279.37170694934105,HAM
8,172.39197811677494,176.46198728074305,VER
9,242.53696326850556,241.8179225124577,HAM
10,276.4653672822204,273.5265772728767,HAM
11,275.3205220976898,264.4035407364151,HAM
12,211.88191959493471,215.00553119336456,VER
13,135.21227446657315,133.0847282225836,HAM
14,123.77259622301351,125.79462581246493,VER
15,167.80127360898624,172.91020246305095,VER
16,126.25315804590618,128.44613333178796,VER
17,234.81962690611712,234.23814079899026,HAM
18,192.07257551223805,191.09024605339098,HAM
19,160.85947241033924,169.41087460894198,VER
20,246.66228867809298,247.8327566727681,VER
21,277.9445606719974,275.90653033592196,HAM
22,294.6777654976717,292.47020095238094,HAM
23,306.30674619725994,301.82580883256065,HAM
24,311.40034397877275,306.8059426710223,HAM
25,312.3250002285714,308.0,HAM
