Minisector,LEC,PER,Fastest
0,282.25726526295364,284.3753434086478,PER
1,124.05767512746156,132.40416017790827,PER
2,158.7479692728452,160.0261589990715,PER
3,218.8958106813187,231.15062852498698,PER
4,158.69860874752928,163.24323547933508,PER
5,239.03265722597405,239.7967361415539,PER
6,213.68014990180845,229.87690986745656,PER
7,134.83269284547768,136.94701550976598,PER
8,230.90937814764015,231.5908383453804,PER
9,274.26386554452796,271.8261945722231,LEC
10,280.4600762085137,284.0957755030997,PER
11,146.54198954754648,153.35703435166667,PER
12,213.1750980682473,222.0445618937753,PER
13,266.90781749841267,265.8892813196355,LEC
14,268.7034280747475,271.00928620783066,PER
15,96.52282039363064,105.17867871631836,PER
16,219.16848586155285,221.61661247907648,PER
17,270.679942472671,270.3457318495722,LEC
18,290.6256022408964,289.64641773262787,LEC
19,302.03349678580764,298.86460623451705,LEC
20,308.48518643608685,304.3565355626667,LEC
21,287.1467857015873,301.9065468952381,PER
22,153.7775117177216,154.97535734872332,PER
23,230.03844749913043,234.4668138342752,PER
24,274.30097219812416,271.963824008692,LEC
25,287.57660317297325,283.08333333333337,LEC
