Minisector,HUL,ZHO,Fastest
0,313.1845405401212,312.47390310520433,HUL
1,210.6330800558422,196.05563406560847,HUL
2,228.55476177191696,224.85678196327075,HUL
3,283.3524326431746,280.25776474367126,HUL
4,239.4236491798335,234.70272305117652,HUL
5,125.56934918905775,127.24269127398257,ZHO
6,210.34122720013852,212.2021503674258,ZHO
7,260.6374270815584,262.3414091076274,ZHO
8,250.09482909496597,238.58470147415778,HUL
9,239.92832504160367,233.30992741217287,HUL
10,278.5029092566082,272.4783134554497,HUL
11,295.191996663853,288.10320100792006,HUL
12,310.15741516663104,301.90897727777354,HUL
13,323.39876453426905,313.86011390640573,HUL
14,324.5781578105263,312.66188007451353,HUL
15,249.79311722271606,251.13016668850793,ZHO
16,240.23438877541508,242.13876770861046,ZHO
17,283.4681165732756,283.75781738885485,ZHO
18,304.77872185926464,304.85226809753186,ZHO
19,159.57255290319165,153.50474969711286,HUL
20,206.6831235505866,203.27714392467385,HUL
21,178.32629210718363,179.38951416634922,ZHO
22,142.23303376345334,142.52021890214124,ZHO
23,239.90067055216178,239.42445204392996,HUL
24,294.22531201886625,292.6539097557012,HUL
25,,305.9437504,ZHO
