Minisector,PER,NOR,Fastest
0,240.16259036428633,242.609386764873,NOR
1,275.03391533968255,277.0490999791181,NOR
2,179.461293781949,174.09932590128827,PER
3,154.3316004024932,150.02891840826555,PER
4,255.98807595743304,255.64410839416934,PER
5,274.2680750022777,267.2554710192208,PER
6,225.21335737574455,216.1835808150855,PER
7,198.06859061096935,195.88273837904202,PER
8,155.2619576749633,150.33992926346448,PER
9,213.13003543209788,208.45109908829994,PER
10,269.76191307421396,270.03406101536507,NOR
11,118.10641864326472,111.43094682649914,PER
12,204.8023275344876,205.03825608114855,NOR
13,271.6782489251196,276.9686699326984,NOR
14,292.58095203114925,308.36181338355766,NOR
15,301.6691820349863,321.3529885209023,NOR
16,243.02642872611833,231.62610692950506,PER
17,132.87971651456175,120.30323911618824,PER
18,132.13922726492422,130.18648644216992,PER
19,122.32188391159657,120.66578997733679,PER
20,222.68101877076646,228.05344051879732,NOR
21,252.70806929743404,258.29648071475503,NOR
22,234.68857822711288,223.18735547425987,PER
23,213.50041303699405,200.61677769766345,PER
24,139.10853775706755,131.01085524216197,PER
