Minisector,RUS,PIA,Fastest
0,281.42370998973036,280.4419327417787,RUS
1,122.0071877828362,125.63492833579099,PIA
2,163.71290897833507,159.5768588298083,RUS
3,218.96055937163638,216.07242042080807,RUS
4,170.7699627798121,169.2149787510534,RUS
5,243.22120613614038,243.2307273709091,PIA
6,226.98172207790273,231.09358868044419,PIA
7,135.09962114233826,130.75216802474662,RUS
8,226.8184791109433,226.78257113244445,RUS
9,276.31138569222225,283.26736816423283,PIA
10,292.002695852344,297.8002275680464,PIA
11,166.2604415893651,155.96313060689948,RUS
12,217.05824447016553,217.99204921584766,PIA
13,268.5969814689216,267.47409075384047,RUS
14,276.72672102233764,271.97723134075187,RUS
15,102.56363732996569,101.58747063482225,RUS
16,201.90321145697723,207.59769139862598,PIA
17,270.9638218186147,271.12895395918366,PIA
18,291.20672294184874,301.5210363204482,PIA
19,303.44689481981266,318.6234631794093,PIA
20,308.3972222273016,325.5655691571429,PIA
21,286.77759115670995,301.7230041635854,PIA
22,157.47166676667763,156.21087095556396,RUS
23,235.93812226285715,230.23810027280146,RUS
24,275.29834235050515,282.6491740979679,PIA
25,287.88500096,298.4651423451429,PIA
