Minisector,SAI,ALB,Fastest
0,297.76874908748664,297.02103546908785,SAI
1,307.54828285537866,304.40016664533334,SAI
2,221.8678906793651,216.55122476299016,SAI
3,136.11928269751587,135.67645276140672,SAI
4,220.35105420650038,214.5012530050598,SAI
5,164.29254503371453,156.0118288607268,SAI
6,168.85936616869353,168.2602162763756,SAI
7,252.34169835677017,255.9642757445614,ALB
8,280.67754897568625,280.94302147633647,ALB
9,291.1262254745098,289.5515132294737,SAI
10,254.7315559817101,251.91129419762737,SAI
11,237.60279589239767,237.36156641751106,SAI
12,239.09816131468912,227.9723899354691,SAI
13,207.72662845575758,196.89583569356822,SAI
14,128.94393759134942,125.71217432353495,SAI
15,140.60400132733045,132.4431215540479,SAI
16,167.74842854721558,186.44662652665116,ALB
17,248.1230936085154,259.5500036402116,ALB
18,253.65148412533335,227.89949600843443,SAI
19,116.30860600431633,115.18843945423514,SAI
20,188.91111781867681,205.81583264532134,ALB
21,199.38418361703134,194.85572113127398,SAI
22,231.90129528996334,243.19308106542277,ALB
23,264.24808092070174,276.82955347809525,ALB
24,284.8544864247619,299.3646686142089,ALB
25,293.78000128,,SAI
