Minisector,KVY,NOR,Fastest
0,299.59440810232144,301.10916598897967,NOR
1,317.87493704661654,320.6419484150376,NOR
2,327.22753560238846,328.98250537724783,NOR
3,325.7962728421053,325.01480081676203,KVY
4,186.13104146972273,198.60958141444988,NOR
5,225.7687221366967,223.65294692868764,KVY
6,273.7405806119177,270.64962084848486,KVY
7,266.3660636289855,272.1441975757529,NOR
8,190.40706817851165,194.1680804190476,NOR
9,152.17994325101694,155.89816897405473,NOR
10,190.249337932584,186.25656722331078,KVY
11,264.0865076133256,263.3299683710145,KVY
12,253.7617242282399,254.96388982222223,NOR
13,228.37113819524416,229.62547493802626,NOR
14,269.34588705108223,275.19257224347825,NOR
15,177.06963823548554,177.2302967330471,NOR
16,228.5395056103963,217.41134966436783,KVY
17,254.501993778882,243.11831770151767,KVY
18,138.01722543010817,133.22454692413123,KVY
19,245.4769068153489,242.0600974977938,KVY
20,286.3679919030303,284.99668338503403,KVY
21,260.10654910807455,259.6069061158997,KVY
22,146.46291647484873,142.1814007076077,KVY
23,214.53120679007762,202.3131508315619,KVY
24,274.7493697934027,270.78233184415586,KVY
25,289.8250016,286.95000000000005,KVY
