Minisector,VER,PIA,Fastest
0,272.54683324266665,274.74411761045195,PIA
1,245.51750954550843,231.90427837121024,VER
2,117.95407132223019,119.00886768097479,PIA
3,176.5303038709841,171.91505484937326,VER
4,194.89585598817084,187.96168976737326,VER
5,198.8609649721039,202.27771293735276,PIA
6,264.33602710857144,266.9424322612245,PIA
7,286.5288562154882,288.93805568,PIA
8,235.4076778359977,235.0002044010217,VER
9,155.3551703658558,148.32153148281557,VER
10,120.65127033013033,123.02505441391314,PIA
11,149.59767969536065,161.5390959678673,PIA
12,242.95725892155843,244.2506344645066,PIA
13,143.85779134490426,150.3350097703896,PIA
14,154.3319458190556,151.8548171040904,VER
15,107.6880779764918,105.99743159608968,VER
16,220.17391727511026,220.50939305206973,PIA
17,229.682646236965,237.1247889760571,PIA
18,128.3000271421852,128.36424733360067,PIA
19,239.8435268227119,241.37993861626376,PIA
20,274.28488117769786,278.9152531714286,PIA
21,200.36580546156202,193.99942912228215,VER
22,154.55877061873497,154.66787038252102,PIA
23,218.67378252493654,217.97873396733726,VER
24,230.35533696202253,233.02088587202124,PIA
25,,258.3333333333333,PIA
