Minisector,PIA,ALO,Fastest
0,268.82585098209523,264.0330026903704,PIA
1,287.30382239492064,282.5936861405195,PIA
2,293.78607162890756,289.013902846675,PIA
3,131.24465315861949,134.15025109152594,ALO
4,198.08433210655625,194.4180983287664,PIA
5,255.22358610665668,253.65201202008436,PIA
6,145.2537878290476,139.32340720256002,PIA
7,211.6578684409931,204.8222648353347,PIA
8,258.2722124958025,257.0956246156211,PIA
9,274.82480236270675,277.8806712,ALO
10,245.79135031594134,240.6158329684489,PIA
11,185.334931336409,191.19797152821846,ALO
12,198.439878376178,190.250058637445,PIA
13,141.00388937415917,142.0971144862978,ALO
14,178.74901341619446,181.08139173616857,ALO
15,166.6338278179069,164.79274334733432,PIA
16,222.01180117267083,215.64496237805807,PIA
17,245.17641662464766,240.64707288126985,PIA
18,249.05540953452171,244.85062052836437,PIA
19,241.57097866545732,239.20091211626146,PIA
20,149.91268037284826,145.8851399306034,PIA
21,134.4769294605628,139.277371060262,ALO
22,169.7085432373788,169.17352995434032,PIA
23,153.8178599268661,150.18786787433808,PIA
24,233.13399026526315,229.7625216740955,PIA
25,258.08571245714285,,PIA
