Minisector,LEC,ALB,Fastest
0,287.581810932321,287.3346431302139,LEC
1,305.21720411390345,306.6371540807519,ALB
2,305.6606829950938,312.65224198474186,ALB
3,201.8198385583473,199.26487053736886,LEC
4,234.0118638455944,233.85643454113378,LEC
5,223.39987038384928,226.59229047855197,ALB
6,205.06525097991704,209.78627013308756,ALB
7,227.08432976017957,228.2418786564157,ALB
8,265.04933074239773,271.1161274926722,ALB
9,277.2511915423084,274.04846485781434,LEC
10,176.61668690591407,170.4598515158849,LEC
11,237.40009560915985,242.29773974642245,ALB
12,121.06820534257054,114.19445558777721,LEC
13,221.31305989250663,228.97955092934293,ALB
14,278.03097547826087,277.54374439074377,LEC
15,293.924589202963,294.89134745561114,ALB
16,226.4788249579233,213.063542586867,LEC
17,185.17509748395793,182.89786458409415,LEC
18,266.54880331409595,272.1887592070309,ALB
19,292.5762795323077,293.62814867389926,ALB
20,304.43842784242423,305.8793664506782,ALB
21,306.2201885622575,306.96623379116886,ALB
22,272.28572413856983,275.39350220772053,ALB
23,120.47256576771365,120.70747372966292,ALB
24,247.84176429154834,243.74862443718385,LEC
