Minisector,PIA,SAI,Fastest
0,284.1137739585327,281.69988531738386,PIA
1,300.1119387492668,296.7523712258817,PIA
2,300.98560093315194,291.36080529044136,PIA
3,167.4050234373249,175.76924393547785,SAI
4,215.21899693860263,216.99146032441269,SAI
5,193.87882452410383,193.14947289450265,PIA
6,176.4440685472548,175.82730763341945,PIA
7,200.3618644082251,204.20746343723786,SAI
8,251.5896460341073,256.4043881761905,SAI
9,261.82639944134013,261.3795021381065,PIA
10,164.44627722234014,166.16832034741597,SAI
11,235.79776691423092,231.766669448506,PIA
12,116.59562203200412,112.45824338191237,PIA
13,219.15191510083437,220.21388979614056,SAI
14,278.8287280209078,274.53514774494334,PIA
15,294.3031664090383,288.68538252226335,PIA
16,203.21780776547524,199.96215769981617,PIA
17,177.17476676429183,182.77103995832684,SAI
18,266.33140609652077,265.57027567238094,PIA
19,292.41928271030304,290.39201931081953,PIA
20,304.5466173570695,301.62987774814815,PIA
21,304.94910222388097,300.8092775161704,PIA
22,275.133610092588,269.08897959203466,PIA
23,112.54225713739176,114.58167974702194,SAI
24,233.45107425020282,239.36723413302857,SAI
