Minisector,VER,RIC,Fastest
0,258.698877374359,257.47707560843605,VER
1,242.1417234103387,222.5118689231363,VER
2,145.83753516501605,147.83430005841618,RIC
3,238.7638242778414,241.0286661577655,RIC
4,268.66135679390476,269.91668867562663,RIC
5,190.35501601912333,178.30230835105291,VER
6,104.84584676678163,98.33073479996075,VER
7,124.53783801781557,132.07591830510674,RIC
8,246.03256874555166,243.07096752481522,VER
9,173.58690546051344,161.5076149840866,VER
10,185.6403224240404,183.5948289382716,VER
11,256.9966661546667,252.8439381350488,VER
12,248.8952599259153,232.79597262222222,VER
13,264.1784250183542,245.0436570932122,VER
14,280.91576064927534,274.3911661226667,VER
15,273.6287106003552,269.68211942222223,VER
16,143.52448917927103,137.0879439253731,VER
17,234.95821309714285,229.01144950599942,VER
18,276.90019386623106,273.4207980426108,VER
19,286.19207905605356,285.811323163681,VER
20,288.18265684502165,291.23365114015746,RIC
21,288.19535103472987,297.0035996662132,RIC
22,146.948839376109,146.30702734202993,VER
23,83.28202712234938,81.80661801784348,VER
24,161.41726684273638,155.20952306303832,VER
25,,236.36250239999998,RIC
