Minisector,SAI,ALB,Fastest
0,247.03045579130435,245.06040196958924,SAI
1,283.1650904032455,281.22878684807256,SAI
2,172.10626305158405,180.0278505219086,ALB
3,153.96977037577054,145.07489474570548,SAI
4,256.84786439903235,253.76784580011292,SAI
5,270.52029810457225,265.38214569123085,SAI
6,223.49621379124798,212.81856006267282,SAI
7,202.93445550239738,193.84522532437876,SAI
8,159.13808635501184,152.53492878312247,SAI
9,209.79457359113678,215.2653349124515,ALB
10,273.4009427161482,271.34508623282085,SAI
11,124.26814229814171,115.63319570961946,SAI
12,202.5067891722046,209.1301109996928,ALB
13,270.18307157281265,271.5926754276429,ALB
14,292.20416914189894,294.1232499229091,ALB
15,302.2983332495238,301.8042222222222,SAI
16,231.7553519704435,214.80370248758658,SAI
17,132.60924538936757,131.39583899997848,SAI
18,129.4282168555215,129.9650794835979,ALB
19,116.6575243021261,121.06967689430783,ALB
20,226.81036905523587,223.2614181818182,SAI
21,260.7100314362323,250.18987787412354,SAI
22,231.0529798163811,221.4661411348508,SAI
23,215.12024245486703,201.63827250035567,SAI
24,136.94935101261,135.4818618729631,SAI
25,214.0,,SAI
