Minisector,RUS,SAI,Fastest
0,298.11879007237746,301.79907734349206,SAI
1,165.84976054185634,162.28484046972787,RUS
2,155.7751004803186,163.47875073986648,SAI
3,233.01898387548715,231.88327082040541,RUS
4,285.6402991656517,288.6710569065598,SAI
5,287.6516716672831,294.3078562691345,SAI
6,143.66192805061044,146.9197541671718,SAI
7,147.71350698895247,146.5897118464578,RUS
8,136.71894494517556,143.39125019521,SAI
9,204.2294387382652,188.43902723346605,RUS
10,133.62473570610538,140.74364080447668,SAI
11,132.95574160934262,127.1748487115329,RUS
12,177.40219268416965,172.27591855869727,RUS
13,272.46116540100127,268.85041519904473,RUS
14,295.12530966798613,294.1149781046057,RUS
15,154.6455888074056,156.49461659776412,SAI
16,206.713194113811,191.791474018386,RUS
17,178.32619812732003,169.99394996871138,RUS
18,272.0968492174131,269.489092222473,RUS
19,293.1677984000018,293.7867396661192,SAI
20,308.7023568444091,308.1859679570755,RUS
21,316.82315457423033,316.4124817754788,RUS
22,323.74725092932334,320.4868139836007,RUS
23,326.14773164157606,323.86749341291005,RUS
24,323.9009328294844,322.4858975205669,RUS
