Minisector,VET,LEC,Fastest
0,258.3620213424225,256.02913294216023,VET
1,224.00591566451615,235.01472517732768,LEC
2,143.12053329619067,145.3073376231884,LEC
3,240.79323892789117,237.24539947805502,VET
4,270.05471066174704,268.70950024533334,VET
5,181.84850924684685,183.59259511056024,LEC
6,98.38480412894181,101.04539529473645,LEC
7,133.45112823479107,134.87137248995353,LEC
8,247.86990255824654,246.49358519082892,VET
9,169.21052359859297,172.5611331082045,LEC
10,181.76800072099422,184.79756818622118,LEC
11,252.09341684627762,254.62490142023395,LEC
12,235.55208342857142,237.60344694819034,LEC
13,256.3821808924276,258.2164088863064,LEC
14,278.92789815652174,280.5070655536232,LEC
15,275.49950237866665,279.3800998406391,LEC
16,138.9142322962225,136.8947975259182,VET
17,233.4971306694828,229.68853669646577,VET
18,277.15344139130434,276.1411741415546,VET
19,286.3624999884058,285.18134056811596,VET
20,289.20961798222226,286.546221720911,VET
21,294.04242424242426,291.89402179710146,VET
22,150.2025963996681,140.5067658277903,VET
23,81.45244819756738,79.4896197047427,VET
24,165.34307497895534,159.86515252537623,VET
25,240.7874976,,VET
