Minisector,LEC,LIN,Fastest
0,300.4947222044445,298.29430525139117,LEC
1,152.55851679253968,147.80362158132345,LEC
2,210.97986267990382,216.7666972521739,LIN
3,286.1302578944219,285.1151402766123,LEC
4,311.78088507809525,318.2293171968298,LIN
5,312.0963042074074,318.67460219272726,LIN
6,175.19353662581608,177.53576071161905,LIN
7,119.41925688104412,118.59332730107472,LEC
8,253.74668032902997,255.5092616730688,LIN
9,289.32798973490196,296.9132533034091,LIN
10,289.47141331877316,301.7112557185434,LIN
11,136.7309584870356,134.60972818555894,LEC
12,175.7506535572534,175.62973213052152,LEC
13,242.56870424085008,245.4673121218991,LIN
14,186.90828870854065,176.14473218917396,LEC
15,197.03839394377144,191.70953493214108,LEC
16,199.4950343279121,189.08439592557625,LEC
17,236.48490406704764,230.80488879828286,LEC
18,279.38321261985186,279.15657645850564,LEC
19,289.6323093346878,297.7033317927273,LIN
20,243.4862271372006,232.56441936855126,LEC
21,206.10423596088887,194.85452060434287,LEC
22,189.39261869435484,188.62631246007837,LEC
23,269.7288349121693,272.3687784391111,LIN
24,301.04947732517246,305.1754969939394,LIN
