Minisector,HUL,ALO,Fastest
0,276.22861153710284,277.17740620902356,ALO
1,293.7030996171274,297.4506600021979,ALO
2,288.5392237238598,299.4718878077097,ALO
3,174.75410005963528,167.69507655644654,HUL
4,116.6118580534224,121.56293344037296,ALO
5,235.74648820876786,238.89662905597882,ALO
6,279.35774156918166,282.2713991982619,ALO
7,288.1180057004329,289.7758748261587,ALO
8,174.86848252486774,164.92112078559526,HUL
9,140.96418747475943,144.36034516406343,ALO
10,250.7143886309297,255.15268452697026,ALO
11,286.3390364687973,290.93097660425815,ALO
12,300.50507009587767,296.5564481777778,HUL
13,280.0695596643771,281.9115762940802,ALO
14,299.71836058320343,303.3411028142995,ALO
15,296.2941808979488,305.06346171509665,ALO
16,250.23495160439558,243.5686729511834,HUL
17,228.01488153625954,228.78985269390202,ALO
18,278.4716194115751,281.2114186108972,ALO
19,302.1070964723022,305.62776344926317,ALO
20,305.75288088694464,306.4956996605676,ALO
21,238.97529295563467,231.85623248899506,HUL
22,260.21539445106146,263.22323376467455,ALO
23,141.09626592426807,133.57848025387779,HUL
24,218.0700247496658,220.6778523462003,ALO
