Minisector,NOR,KVY,Fastest
0,321.76982399337476,328.3282150059422,KVY
1,329.0450757575758,344.2277775746032,KVY
2,322.90634059130434,344.8061508571428,KVY
3,187.1632206075188,192.92089659759768,KVY
4,120.30816175625503,120.51306036300267,KVY
5,265.18589810512447,265.39478577995357,KVY
6,300.7266865079365,300.8125734121306,KVY
7,309.9640624888889,308.3019927188406,NOR
8,275.35833333333335,271.7579396910053,NOR
9,144.40341385994196,145.88834939977866,KVY
10,219.9011581766121,217.68876347474747,NOR
11,216.92765151515152,212.6802465559785,NOR
12,200.29494914097754,200.17117163243245,NOR
13,270.1226631393298,268.7796628401712,NOR
14,305.53200756746975,303.33159684444445,NOR
15,314.3101449275362,311.5718212925763,NOR
16,264.314258344979,264.4084134222222,KVY
17,208.92023809523812,202.3909565956986,NOR
18,274.33126237143557,272.9216337289377,NOR
19,306.99528985507243,306.5341299849275,NOR
20,320.06439393939394,316.9927536231884,NOR
21,305.663307756548,295.7638949604171,NOR
22,210.84791670588237,205.9467587395573,NOR
23,265.47324109050794,263.6389738588724,NOR
24,303.69233326933335,301.7172612336996,NOR
