Minisector,LEC,RUS,Fastest
0,291.35781564773106,287.8369932214665,LEC
1,296.0592229387645,293.1511597339194,LEC
2,156.07966926550102,163.48729003803987,RUS
3,219.57361885575756,221.70419113771732,RUS
4,270.90505636029627,268.5893458680112,LEC
5,291.730780390056,289.00896892026145,LEC
6,301.0815441813853,298.04765453605444,LEC
7,164.4377060025271,163.10405229714286,LEC
8,128.36167937144154,126.29149908396222,LEC
9,249.015412236937,246.2071954225037,LEC
10,285.5117781692352,280.61389742406857,LEC
11,298.63680480000005,292.7569993386667,LEC
12,146.24250084588184,141.04757496593845,LEC
13,192.4647946899306,188.71361365679653,LEC
14,258.38414778463977,252.76577093437294,LEC
15,206.5216441405659,205.2280218744179,LEC
16,213.85823053225613,208.98189903417492,LEC
17,209.67275859986535,209.3381590669062,LEC
18,241.05856766938325,238.1106156487542,LEC
19,276.4116277992158,272.8876611511449,LEC
20,296.82632960056435,291.56971394431935,LEC
21,261.0228193988719,260.32318373777775,LEC
22,219.25538733131233,221.77256877005962,RUS
23,201.26157544691358,206.60795610389613,RUS
24,263.44728272716293,261.40893550667147,LEC
