Minisector,SAI,GAS,Fastest
0,270.69985987465424,271.02812565333335,GAS
1,290.5658964526611,287.56362214783144,SAI
2,298.8521382163261,295.0426891931793,SAI
3,123.2010467658935,133.98336206776625,GAS
4,191.57715745185183,195.82875271133165,GAS
5,254.5928678235818,258.01666732698413,GAS
6,139.1792252936531,151.35408740465772,GAS
7,202.77408240437936,203.66808670786423,GAS
8,257.1785705650794,257.18359103780244,GAS
9,278.85581157427913,278.8114037894737,SAI
10,231.83392788210537,249.8952643878788,GAS
11,177.70378636413727,191.82142724353744,GAS
12,191.97534571168066,191.87771981613344,SAI
13,147.26549301445584,157.29591972661066,GAS
14,175.98634830131368,182.879971205215,GAS
15,162.78287560258667,169.42754471043125,GAS
16,216.28885426481452,218.5622854672824,GAS
17,230.4461092789843,243.61619842658274,GAS
18,236.87563681135626,241.42662436017318,GAS
19,239.5113662060606,258.77219258780707,GAS
20,139.16747385530928,148.27181995789473,GAS
21,133.54093156078056,144.69980076334983,GAS
22,171.67499896888887,171.0160706032387,SAI
23,146.55897464456476,156.68432323932007,GAS
24,229.03100030476193,227.37354565146896,SAI
25,,258.25,GAS
