Minisector,LEC,NOR,Fastest
0,291.14833960902257,289.17187504,LEC
1,217.90798781808812,209.9149095013278,LEC
2,140.4354364085459,142.9749654772487,NOR
3,219.68636831976735,219.6748118618215,LEC
4,153.6603912402721,153.66397195294118,NOR
5,172.174239243428,175.74395953135874,NOR
6,247.9848483878788,248.83315102608697,NOR
7,270.7136062760828,269.8239345162907,LEC
8,277.0125000421053,277.3311402105263,NOR
9,253.67270424671202,251.96686628571427,LEC
10,244.45774945958763,241.20798656091668,LEC
11,244.37539692698414,239.3053044848485,LEC
12,211.396333312,204.09206501509587,LEC
13,138.0687218039408,143.29673851611938,NOR
14,149.98755857851665,146.4196251174707,LEC
15,172.97094314124442,193.92100752592592,NOR
16,249.40513817212593,256.4166042800751,NOR
17,241.4867910254868,237.70054757101448,LEC
18,112.41123118105065,112.60062027801419,NOR
19,193.88115068500883,201.85897222564103,NOR
20,193.65138899753086,191.78358551798956,LEC
21,230.19358285694852,232.56412911304346,NOR
22,262.78220211654735,259.6676376540722,LEC
23,276.09004368074005,275.6582851186085,LEC
24,285.036058883208,285.65833313684215,NOR
25,287.63571382857145,,LEC
